boundary_censoring,boundary_exact,boundary_interval_censored,boundary_monotonic,context_window_anchor_source,context_window_probe_anchor_value,dimension,documentation_status,documented_value,endpoint_id,finding,maximum_accepted_combined_target_tokens,maximum_accepted_estimated_input_tokens,maximum_accepted_input_tokens,maximum_accepted_requested_output_target,maximum_functionally_valid_combined_target_tokens,maximum_functionally_valid_input_tokens,maximum_realized_output_tokens,minimum_rejected_estimated_combined_target_tokens,minimum_rejected_estimated_input_tokens,minimum_rejected_requested_output_target,observed_value,requested_output_target,requested_output_target_unit
,,,,,,structured output,,,minimax-m2.5,observed_functional,,,,,,,,,,,observed_functional,,
nonmonotonic_inconclusive,False,False,False,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,262144,mimo-v2.5-pro,nonmonotonic_context_outcomes_inconclusive,,262668,246006,,,245518,,,261620,,,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,262144,mimo-v2.5-pro,transport_accepted_but_retrieval_not_verified,246272,258572,242176,,,,,,,,246272,4096,tokens
,,,,,,output limit,,262144,mimo-v2.5-pro,realized_generation_observed,,,,16384,,,4096,,,262144,4096,,words
,,,,,,vision,,False,mimo-v2.5-pro,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,True,mimo-v2.5-pro,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,True,mimo-v2.5-pro,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,131072,nemotron-3-ultra-550b,accepted_and_retrieval_valid_through_76667,,131334,126009,,,76667,,,,,126009,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,131072,nemotron-3-ultra-550b,accepted_and_retrieval_valid_through_126176,126176,127238,122080,,126176,122080,,,,,126176,4096,tokens
,,,,,,output limit,,131072,nemotron-3-ultra-550b,realized_generation_observed,,,,16384,,,4096,,,131072,4096,,words
,,,,,,vision,,False,nemotron-3-ultra-550b,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,,nemotron-3-ultra-550b,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,,nemotron-3-ultra-550b,observed_functional,,,,,,,,,,,observed_functional,,
interval_censored,False,True,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,1000000,nvidia-nemotron-3-super-120b,accepted_and_retrieval_valid_through_76667,,261718,260440,,,76667,,,263671,,260440,,
left_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,1000000,nvidia-nemotron-3-super-120b,untested_or_inconclusive,,,,,,,,504096,500000,,,4096,tokens
,,,,,,output limit,,32768,nvidia-nemotron-3-super-120b,realized_generation_observed,,,,32769,,,4096,,,64,4096,,words
,,,,,,vision,,False,nvidia-nemotron-3-super-120b,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,,nvidia-nemotron-3-super-120b,inconclusive,,,,,,,,,,,inconclusive,,
,,,,,,structured output,,,nvidia-nemotron-3-super-120b,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,128000,openai-gpt-oss-120b,accepted_and_retrieval_valid_through_66717,,128256,117629,,,66717,,,,,117629,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,128000,openai-gpt-oss-120b,accepted_and_retrieval_valid_through_117968,117968,124160,113872,,117968,113872,,,,,117968,4096,tokens
,,,,,,output limit,,4096,openai-gpt-oss-120b,realized_generation_observed,,,,16384,,,32768,,,64,32768,,words
,,,,,,vision,,False,openai-gpt-oss-120b,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,,openai-gpt-oss-120b,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,,openai-gpt-oss-120b,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,1000000,qwen3.8-max,accepted_and_retrieval_valid_through_1004572,,1002000,1004572,,,1004572,,,,,1004572,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,1000000,qwen3.8-max,accepted_and_retrieval_valid_through_1004559,1004559,997904,1000463,,1004559,1000463,,,,,1004559,4096,tokens
,,,,,,output limit,,262144,qwen3.8-max,realized_generation_observed,,,,262145,,,10380,,,,10380,,words
,,,,,,vision,,True,qwen3.8-max,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,tool calling,,True,qwen3.8-max,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,True,qwen3.8-max,observed_functional,,,,,,,,,,,observed_functional,,
nonmonotonic_inconclusive,False,False,False,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,131072,qwen3.5-397b-a17b,nonmonotonic_context_outcomes_inconclusive,,128245,131038,,,98141,,,128265,,,,
interval_censored,False,True,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,131072,qwen3.5-397b-a17b,accepted_and_retrieval_valid_through_117939,117939,111419,113843,,117939,113843,,130810,126714,,117939,4096,tokens
,,,,,,output limit,,131072,qwen3.5-397b-a17b,realized_generation_observed,,,,4096,,,5632,,,64,5632,,words
,,,,,,vision,,False,qwen3.5-397b-a17b,inconclusive,,,,,,,,,,,inconclusive,,
,,,,,,tool calling,,,qwen3.5-397b-a17b,inconclusive,,,,,,,,,,,inconclusive,,
,,,,,,structured output,,,qwen3.5-397b-a17b,observed_functional,,,,,,,,,,,observed_functional,,
