completed_subcell_count,coverage_dimension,endpoint_id,explicit_untested_subtest_count,has_explicit_scope_exclusions,inconclusive_subcell_count,observed_attempt_count,operational_failure_subcell_count,planned_cell_or_epoch_count,replicate_failure_subcell_count,skipped_subcell_count,status,superseded_subcell_count,unsupported_subcell_count
65,input_context,minimax-m2.5,0,False,1,66,0,66,0,0,completed,0,0
38,output_length,minimax-m2.5,0,False,1,39,0,42,0,0,completed,0,0
18,parameter_validation,minimax-m2.5,0,False,9,34,0,34,0,0,completed,0,7
14,parameter_interactions,minimax-m2.5,0,False,0,75,0,86,0,0,completed,22,39
25,aimd_short_short,minimax-m2.5,0,False,0,2046,0,25,0,0,completed,0,0
24,aimd_long_short,minimax-m2.5,0,False,0,120,0,24,0,0,completed,0,0
21,aimd_short_long,minimax-m2.5,0,False,0,94,0,21,0,0,completed,0,0
22,aimd_mixed,minimax-m2.5,0,False,0,123,0,22,0,0,completed,0,0
16,post_overload_recovery,minimax-m2.5,1,True,0,542,0,19,3,0,completed,0,0
17,quality_low_load,minimax-m2.5,0,False,0,54,0,20,3,0,completed,0,0
33,quality_near_saturation,minimax-m2.5,0,False,0,767,0,36,3,0,completed,0,0
28,tool_calling,minimax-m2.5,1,True,3,31,0,31,0,0,completed,0,0
5,structured_output,minimax-m2.5,0,False,0,12,0,13,0,0,completed,2,5
0,vision,minimax-m2.5,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,mimo-v2.5-pro,0,False,0,1,0,1,0,0,completed,0,0
24,low_load_baseline,mimo-v2.5-pro,0,False,3,46,0,27,0,0,completed,0,0
54,input_context,mimo-v2.5-pro,0,False,12,66,0,66,0,0,completed,0,0
37,output_length,mimo-v2.5-pro,0,False,3,45,0,49,0,0,completed,3,2
22,parameter_validation,mimo-v2.5-pro,0,False,2,27,0,27,0,0,completed,0,3
50,parameter_interactions,mimo-v2.5-pro,0,False,0,71,0,76,0,0,completed,15,6
22,aimd_short_short,mimo-v2.5-pro,0,False,0,1226,0,22,0,0,completed,0,0
23,aimd_long_short,mimo-v2.5-pro,0,False,0,123,0,23,0,0,completed,0,0
20,aimd_short_long,mimo-v2.5-pro,0,False,0,47,0,20,0,0,completed,0,0
19,aimd_mixed,mimo-v2.5-pro,0,False,0,30,0,19,0,0,completed,0,0
9,post_overload_recovery,mimo-v2.5-pro,1,True,0,87,0,11,2,0,completed,0,0
12,quality_low_load,mimo-v2.5-pro,0,False,0,33,0,14,2,0,completed,0,0
28,quality_near_saturation,mimo-v2.5-pro,0,False,0,461,0,30,2,0,completed,0,0
49,tool_calling,mimo-v2.5-pro,1,True,1,54,0,55,0,0,completed,3,1
12,structured_output,mimo-v2.5-pro,0,False,0,12,0,12,0,0,completed,0,0
0,vision,mimo-v2.5-pro,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,nemotron-3-ultra-550b,0,False,0,1,0,1,0,0,completed,0,0
24,low_load_baseline,nemotron-3-ultra-550b,0,False,3,46,0,27,0,0,completed,0,0
60,input_context,nemotron-3-ultra-550b,0,False,6,66,0,66,0,0,completed,0,0
34,output_length,nemotron-3-ultra-550b,0,False,3,41,0,45,0,0,completed,2,2
22,parameter_validation,nemotron-3-ultra-550b,0,False,2,27,0,27,0,0,completed,0,3
50,parameter_interactions,nemotron-3-ultra-550b,0,False,0,61,0,64,0,0,completed,6,5
18,aimd_short_short,nemotron-3-ultra-550b,0,False,0,226,0,18,0,0,completed,0,0
24,aimd_long_short,nemotron-3-ultra-550b,0,False,0,89,0,24,0,0,completed,0,0
20,aimd_short_long,nemotron-3-ultra-550b,0,False,0,31,0,20,0,0,completed,0,0
20,aimd_mixed,nemotron-3-ultra-550b,0,False,0,53,0,20,0,0,completed,0,0
10,post_overload_recovery,nemotron-3-ultra-550b,1,True,0,56,0,10,0,0,completed,0,0
14,quality_low_load,nemotron-3-ultra-550b,0,False,0,41,0,14,0,0,completed,0,0
30,quality_near_saturation,nemotron-3-ultra-550b,0,False,0,190,0,30,0,0,completed,0,0
28,tool_calling,nemotron-3-ultra-550b,1,True,0,28,0,28,0,0,completed,0,0
10,structured_output,nemotron-3-ultra-550b,0,False,0,10,0,10,0,0,completed,0,0
0,vision,nemotron-3-ultra-550b,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,nvidia-nemotron-3-super-120b,0,False,0,1,0,1,0,0,completed,0,0
19,low_load_baseline,nvidia-nemotron-3-super-120b,0,False,3,39,0,38,1,0,completed,0,0
62,input_context,nvidia-nemotron-3-super-120b,0,False,12,75,0,102,0,1,completed,0,0
35,output_length,nvidia-nemotron-3-super-120b,0,False,7,42,0,61,0,0,completed,0,0
17,parameter_validation,nvidia-nemotron-3-super-120b,0,False,8,33,0,33,0,0,completed,0,8
16,parameter_interactions,nvidia-nemotron-3-super-120b,0,False,0,96,0,110,0,0,completed,28,52
21,aimd_short_short,nvidia-nemotron-3-super-120b,0,False,0,266,0,21,0,0,completed,0,0
21,aimd_long_short,nvidia-nemotron-3-super-120b,0,False,0,58,0,21,0,0,completed,0,0
19,aimd_short_long,nvidia-nemotron-3-super-120b,0,False,0,22,0,19,0,0,completed,0,0
20,aimd_mixed,nvidia-nemotron-3-super-120b,0,False,0,58,0,20,0,0,completed,0,0
8,post_overload_recovery,nvidia-nemotron-3-super-120b,1,True,0,39,0,10,2,0,completed,0,0
11,quality_low_load,nvidia-nemotron-3-super-120b,0,False,0,28,0,13,2,0,completed,0,0
27,quality_near_saturation,nvidia-nemotron-3-super-120b,0,False,0,123,0,29,2,0,completed,0,0
8,tool_calling,nvidia-nemotron-3-super-120b,1,True,38,54,0,71,0,0,completed,8,0
7,structured_output,nvidia-nemotron-3-super-120b,0,False,0,17,0,20,0,0,completed,4,6
0,vision,nvidia-nemotron-3-super-120b,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,openai-gpt-oss-120b,0,False,0,1,0,1,0,0,completed,0,0
26,low_load_baseline,openai-gpt-oss-120b,0,False,3,54,0,29,0,0,completed,0,0
60,input_context,openai-gpt-oss-120b,0,False,6,66,0,66,0,0,completed,0,0
37,output_length,openai-gpt-oss-120b,0,False,2,39,0,42,0,0,completed,0,0
22,parameter_validation,openai-gpt-oss-120b,0,False,1,26,0,26,0,0,completed,0,3
43,parameter_interactions,openai-gpt-oss-120b,0,False,0,67,0,72,0,0,completed,10,14
24,aimd_short_short,openai-gpt-oss-120b,0,False,0,2126,0,24,0,0,completed,0,0
23,aimd_long_short,openai-gpt-oss-120b,0,False,0,159,0,23,0,0,completed,0,0
22,aimd_short_long,openai-gpt-oss-120b,0,False,0,72,0,22,0,0,completed,0,0
22,aimd_mixed,openai-gpt-oss-120b,0,False,0,90,0,22,0,0,completed,0,0
13,post_overload_recovery,openai-gpt-oss-120b,1,True,0,761,0,13,0,0,completed,0,0
16,quality_low_load,openai-gpt-oss-120b,0,False,0,49,0,16,0,0,completed,0,0
32,quality_near_saturation,openai-gpt-oss-120b,0,False,0,993,0,32,0,0,completed,0,0
28,tool_calling,openai-gpt-oss-120b,1,True,0,28,0,28,0,0,completed,0,0
10,structured_output,openai-gpt-oss-120b,0,False,0,13,0,14,0,0,completed,2,1
0,vision,openai-gpt-oss-120b,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,qwen3.8-max,0,False,0,1,0,1,0,0,completed,0,0
22,low_load_baseline,qwen3.8-max,0,False,3,38,0,25,0,0,completed,0,0
66,input_context,qwen3.8-max,0,False,0,70,0,70,0,4,completed,0,0
36,output_length,qwen3.8-max,0,False,3,39,0,42,0,0,completed,0,0
22,parameter_validation,qwen3.8-max,0,False,1,26,0,26,0,0,completed,0,3
54,parameter_interactions,qwen3.8-max,0,False,0,67,0,68,0,0,completed,7,6
22,aimd_short_short,qwen3.8-max,0,False,0,641,0,22,0,0,completed,0,0
22,aimd_long_short,qwen3.8-max,0,False,0,94,0,22,0,0,completed,0,0
22,aimd_short_long,qwen3.8-max,0,False,0,58,0,22,0,0,completed,0,0
21,aimd_mixed,qwen3.8-max,0,False,0,58,0,21,0,0,completed,0,0
10,post_overload_recovery,qwen3.8-max,1,True,0,51,0,10,0,0,completed,0,0
12,quality_low_load,qwen3.8-max,0,False,0,33,0,12,0,0,completed,0,0
28,quality_near_saturation,qwen3.8-max,0,False,0,296,0,28,0,0,completed,0,0
54,tool_calling,qwen3.8-max,1,True,2,59,0,62,0,0,completed,3,0
12,structured_output,qwen3.8-max,0,False,0,12,0,12,0,0,completed,0,0
18,vision,qwen3.8-max,0,False,0,21,0,22,0,0,completed,1,2
1,capability_smoke,qwen3.5-397b-a17b,0,False,0,1,0,1,0,0,completed,0,0
8,low_load_baseline,qwen3.5-397b-a17b,0,False,6,28,0,37,1,0,completed,0,0
45,input_context,qwen3.5-397b-a17b,0,False,11,61,0,108,0,4,completed,1,0
15,output_length,qwen3.5-397b-a17b,0,False,10,30,0,65,0,0,completed,2,3
17,parameter_validation,qwen3.5-397b-a17b,0,False,10,35,0,35,0,0,completed,0,8
15,parameter_interactions,qwen3.5-397b-a17b,0,False,0,98,0,109,0,0,completed,31,52
22,aimd_short_short,qwen3.5-397b-a17b,0,False,0,1041,0,22,0,0,completed,0,0
21,aimd_long_short,qwen3.5-397b-a17b,0,False,0,58,0,21,0,0,completed,0,0
19,aimd_short_long,qwen3.5-397b-a17b,0,False,0,22,0,19,0,0,completed,0,0
20,aimd_mixed,qwen3.5-397b-a17b,0,False,0,42,0,20,0,0,completed,0,0
7,post_overload_recovery,qwen3.5-397b-a17b,1,True,0,293,0,8,1,0,completed,0,0
11,quality_low_load,qwen3.5-397b-a17b,0,False,0,28,0,12,1,0,completed,0,0
27,quality_near_saturation,qwen3.5-397b-a17b,0,False,0,372,0,28,1,0,completed,0,0
8,tool_calling,qwen3.5-397b-a17b,1,True,23,39,0,71,0,0,completed,8,0
4,structured_output,qwen3.5-397b-a17b,0,False,1,15,0,20,0,0,completed,4,6
1,vision,qwen3.5-397b-a17b,0,False,0,1,0,1,0,0,completed,0,0
